Line,Rep,Start,Sex,Mate2,Time
neo,1,Day,Male,neo,1
neo,1,Day,Male,neo,1
neo,1,Day,Male,neo,1
neo,1,Day,Male,neo,1
neo,1,Day,Male,neo,1
neo,1,Day,Male,neo,1
neo,1,Day,Male,neo,1
neo,1,Day,Male,neo,1
neo,1,Day,Male,neo,1
neo,1,Day,Male,neo,1
neo,1,Day,Male,neo,1
neo,1,Day,Male,neo,1
F1(neo),1,Day,Male,neo,2
F1(neo),1,Day,Male,neo,2
F1(neo),1,Day,Male,neo,2
F1(neo),1,Day,Male,neo,2
F1(neo),1,Day,Male,neo,2
F1(neo),1,Day,Male,neo,2
F1(neo),1,Day,Male,neo,2
F1(try),1,Day,Male,neo,2
F1(try),1,Day,Male,neo,2
F1(try),1,Day,Male,neo,2
neo,1,Day,Male,neo,3
try,1,Day,Male,neo,3
F1(neo),1,Day,Male,neo,3
F1(try),1,Day,Male,try,3
try,1,Day,Male,try,4
try,1,Day,Male,try,4
try,1,Day,Male,try,4
try,1,Day,Male,try,4
try,1,Day,Male,try,4
try,1,Day,Male,neo,4
try,1,Day,Male,neo,4
try,1,Day,Male,neo,4
try,1,Day,Male,neo,4
try,1,Day,Male,neo,4
F1(neo),1,Day,Male,try,4
F1(neo),1,Day,Male,try,4
F1(neo),1,Day,Male,try,4
F1(neo),1,Day,Male,try,4
F1(neo),1,Day,Male,try,4
F1(neo),1,Day,Male,try,4
F1(neo),1,Day,Male,try,4
F1(neo),1,Day,Male,try,4
F1(neo),1,Day,Male,try,4
F1(neo),1,Day,Male,try,4
F1(neo),1,Day,Male,try,4
F1(try),1,Day,Male,try,4
F1(try),1,Day,Male,try,4
F1(try),1,Day,Male,try,4
F1(try),1,Day,Male,try,4
F1(try),1,Day,Male,try,4
F1(try),1,Day,Male,try,4
F1(try),1,Day,Male,try,4
F1(try),1,Day,Male,try,4
F1(try),1,Day,Male,try,4
F1(try),1,Day,Male,try,4
F1(try),1,Day,Male,try,4
F1(try),1,Day,Male,neo,4
F1(try),1,Day,Male,neo,4
neo,2,Dusk,Male,try,4
try,2,Dusk,Male,try,4
try,2,Dusk,Male,try,4
try,2,Dusk,Male,try,4
try,2,Dusk,Male,try,4
try,2,Dusk,Male,try,4
try,2,Dusk,Male,try,4
try,2,Dusk,Male,try,4
try,2,Dusk,Male,try,4
try,2,Dusk,Male,try,4
try,2,Dusk,Male,try,4
try,2,Dusk,Male,neo,4
try,2,Dusk,Male,neo,4
try,2,Dusk,Male,neo,4
try,2,Dusk,Male,neo,4
try,2,Dusk,Male,neo,4
try,2,Dusk,Male,neo,4
F1(neo),2,Dusk,Male,try,4
F1(neo),2,Dusk,Male,try,4
F1(neo),2,Dusk,Male,try,4
F1(neo),2,Dusk,Male,try,4
F1(neo),2,Dusk,Male,try,4
F1(neo),2,Dusk,Male,try,4
F1(neo),2,Dusk,Male,neo,4
F1(neo),2,Dusk,Male,neo,4
F1(neo),2,Dusk,Male,neo,4
F1(neo),2,Dusk,Male,neo,4
F1(neo),2,Dusk,Male,neo,4
F1(neo),2,Dusk,Male,neo,4
F1(neo),2,Dusk,Male,neo,4
F1(neo),2,Dusk,Male,neo,4
F1(neo),2,Dusk,Male,neo,4
F1(neo),2,Dusk,Male,neo,4
F1(neo),2,Dusk,Male,neo,4
F1(try),2,Dusk,Male,try,4
F1(try),2,Dusk,Male,try,4
F1(try),2,Dusk,Male,try,4
F1(try),2,Dusk,Male,try,4
F1(try),2,Dusk,Male,try,4
F1(try),2,Dusk,Male,try,4
F1(try),2,Dusk,Male,neo,4
F1(try),2,Dusk,Male,neo,4
F1(try),2,Dusk,Male,neo,4
F1(try),2,Dusk,Male,neo,4
F1(try),2,Dusk,Male,neo,4
neo,2,Dusk,Male,neo,1
neo,2,Dusk,Male,neo,1
neo,2,Dusk,Male,neo,1
F1(neo),2,Dusk,Male,neo,2
