sample #,% brown,sex,notes,,,,,,Class
20,0,M,,,,,,,4
21,5,F,,,,,,,3
28,5,F,,,,,,,3
3,5,M,,,,,,,3
5,5,M,,,,,,,3
11,5,M,,,,,,,3
22,5,M,,,,,,,3
25,5,M,,,,,,,3
9,10,F,slight brown mottle extending from rim into centre of callus,,,,,,3
4,10,M,slight brown mottle extending from rim into centre of callus,,,,,,3
10,10,M,slight brown mottle extending from rim into centre of callus,,,,,,3
16,10,M,slight brown mottle extending from rim into centre of callus,,,,,,3
34,10,M,slight brown mottle extending from rim into centre of callus,,,,,,3
38,10,F,solid brown rimming part of callus,,,,,,3
2,10,M,solid brown splodges on rim of callus,,,,,,3
13,10,M,solid brown splodges on rim of callus & slight mottle,,,,,,3
15,20,F,slight brown mottle extending from rim into centre of callus,,,,,,3
18,20,F,slight brown mottle extending from rim into centre of callus,,,,,,3
14,20,M,slight brown mottle extending from rim into centre of callus,,,,,,3
31,20,M,slight brown mottle extending from rim into centre of callus,,,,,,3
36,20,M,slight brown mottle extending from rim into centre of callus,,,,,,3
1,20,M,solid brown rimming all of callus,,,,,,3
12,20,F,solid brown rimming part of callus,,,,,,3
39,20,F,solid brown rimming part of callus,,,,,,3
7,20,,solid brown rimming part of callus,,,,,,3
19,20,F,solid brown splodges on rim of callus,,,,,,3
23,20,M,solid brown splodges on rim of callus,,,,,,3
30,20,M,solid brown splodges on rim of callus,,,,,,3
6,30,F,slight brown mottle extending from rim into centre of callus,,,,,,2
24,30,M,slight brown mottle extending from rim into centre of callus,,,,,,2
29,30,M,slight brown mottle extending from rim into centre of callus,,,,,,2
33,30,M,slight brown mottle extending from rim into centre of callus,,,,,,2
37,30,F,solid brown splodges on rim of callus,,,,,,2
27,40,M,slight brown mottle extending from rim into centre of callus,,,,,,2
35,40,M,solid brown around rim of callus and slight brown mottle extending from rim into centre of callus,,,,,,2
40,40,F,solid brown rimming part of callus & slight brown mottle,,,,,,2
8,60,F,brown mottle extending from rim into centre of callus,,,,,,2
26,60,M,slight brown mottle extending from rim into centre of callus,,,,,,2
32,60,M,slight brown mottle extending from rim into centre of callus,,,,,,2
17,70,M,all of callus mottled brown,,,,,,1
