Line,Select,Day,Type,Time,Remarks,Time_End,Remarks_2,100 female hybrids were placed in each
R1_Day,Once before 4,Thursday,Mating,15:07,,15:15,,
R1_Day,Once before 4,Thursday,Mating,15:19,,15:40,,
R1_Day,Once before 4,Thursday,Mating,15:42,,,,
R1_Day,Once before 4,Thursday,Mating,16:47,,,,
R1_Day,Once before 4,Thursday,Mating,17:10,Dusk,,1,
R1_Day,Once before 4,Thursday,Mating,17:12,Dusk,,2,
R1_Day,Once before 4,Thursday,Mating,17:12,Dusk,,3,
R2_Day,Once before 4,Thursday,Mating,15:55,,16:05,,
R2_Day,Once before 4,Thursday,Mating,16:16,,16:38,,
R2_Day,Once before 4,Thursday,Mating,16:42,,,,
R2_Day,Once before 4,Thursday,Mating,16:58,,,,
R2_Day,Once before 4,Thursday,Mating,17:08,,,4,
R3_Day,Once before 4,Thursday,Mating,16:25,,,,
R3_Day,Once before 4,Thursday,Mating,16:25,,,,
R3_Day,Once before 4,Thursday,Mating,17:10,Dusk,,5,
R3_Day,Once before 4,Thursday,Mating,17:14,Dusk,,6,
R1_Backup,After 4,Thursday,Mating,15:46,,15:49,,
R1_Backup,After 4,Thursday,Mating,16:12,,,,
R1_Backup,After 4,Thursday,Mating,16:20,,,,
R1_Backup,After 4,Thursday,Mating,16:20,,,,
R1_Backup,After 4,Thursday,Mating,16:30,,,,
R1_Backup,After 4,Thursday,Mating,16:30,,,,
R1_Backup,After 4,Thursday,Mating,16:30,,,,
R1_Backup,After 4,Thursday,Mating,16:30,,,,
R1_Backup,After 4,Thursday,Mating,16:30,,,,
R1_Backup,After 4,Thursday,Mating,16:30,,,,
R1_Backup,After 4,Thursday,Mating,16:45,,,,
R1_Backup,After 4,Thursday,Mating,16:45,,,,
R1_Backup,After 4,Thursday,Mating,16:45,,,,
R1_Backup,After 4,Thursday,Mating,16:45,,,,
R1_Backup,After 4,Thursday,Mating,16:45,,,,
R1_Backup,After 4,Thursday,Mating,16:45,,,,
R1_Backup,After 4,Thursday,Mating,16:45,,,,
R1_Backup,After 4,Thursday,Mating,16:45,,,,
R1_Backup,After 4,Thursday,Mating,16:45,,,,
R1_Backup,After 4,Thursday,Mating,17:05,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:16,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:24,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:34,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:36,Dusk,,,
R1_Backup,After 4,Thursday,Mating,17:37,Dusk,,,
R2_Backup,After 4,Thursday,Mating,16:20,,,,
R2_Backup,After 4,Thursday,Mating,16:38,,,,
R2_Backup,After 4,Thursday,Mating,16:52,,,,
R2_Backup,After 4,Thursday,Mating,16:52,,,,
R2_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:22,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:22,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:22,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:22,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:22,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:22,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:22,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:22,Dusk,,,
R2_Backup,After 4,Thursday,Mating,17:22,Dusk,,,
R3_Backup,After 4,Thursday,Mating,15:58,,16:24,,
R3_Backup,After 4,Thursday,Mating,16:38,,,,
R3_Backup,After 4,Thursday,Mating,16:38,,,,
R3_Backup,After 4,Thursday,Mating,16:38,,,,
R3_Backup,After 4,Thursday,Mating,16:40,,,,
R3_Backup,After 4,Thursday,Mating,16:52,,,,
R3_Backup,After 4,Thursday,Mating,16:52,,,,
R3_Backup,After 4,Thursday,Mating,16:52,,,,
R3_Backup,After 4,Thursday,Mating,16:52,,,,
R3_Backup,After 4,Thursday,Mating,16:52,,,,
R3_Backup,After 4,Thursday,Mating,16:52,,,,
R3_Backup,After 4,Thursday,Mating,16:52,,,,
R3_Backup,After 4,Thursday,Mating,17:10,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:15,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:15,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:15,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:15,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:15,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:15,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:15,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:15,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:15,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:15,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:20,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:28,Dusk,,,
R3_Backup,After 4,Thursday,Mating,17:42,Dusk,,,
R1_Day,Once before 4,Friday,Mating,15:14,,15:25,,
R1_Day,Once before 4,Friday,Mating,15:38,,16:07,,
R1_Day,Once before 4,Friday,Mating,16:17,,,,
R1_Day,Once before 4,Friday,Mating,16:45,,,,
R2_Day,Once before 4,Friday,Mating,16:07,,16:30,,
R2_Day,Once before 4,Friday,Mating,16:28,,16:45,,
R2_Day,Once before 4,Friday,Mating,16:28,,,,
R2_Day,Once before 4,Friday,Mating,17:12,Dusk,,7,
R3_Day,Once before 4,Friday,Mating,16:54,,,,
R3_Day,Once before 4,Friday,Mating,16:57,,17:07,,
R1_dusk,Dusk,Friday,Mating,15:28,,,8,
R1_dusk,Dusk,Friday,Mating,15:56,,,9,
R1_dusk,Dusk,Friday,Mating,16:03,,,10,
R1_dusk,Dusk,Friday,Mating,16:14,,,11,
R1_dusk,Dusk,Friday,Mating,16:17,,,12,
R1_dusk,Dusk,Friday,Mating,16:19,,,13,
R1_dusk,Dusk,Friday,Mating,16:20,,,14,
R1_dusk,Dusk,Friday,Mating,16:21,,,15,
R1_dusk,Dusk,Friday,Mating,16:21,,,15,
R1_dusk,Dusk,Friday,Mating,16:21,,,15,
R1_dusk,Dusk,Friday,Mating,16:21,,,16,
R1_dusk,Dusk,Friday,Mating,16:21,,,16,
R1_dusk,Dusk,Friday,Mating,16:26,,,17,
R1_dusk,Dusk,Friday,Mating,16:28,,,18,
R1_dusk,Dusk,Friday,Mating,16:30,,,19,
R1_dusk,Dusk,Friday,Mating,16:41,,,20,
R1_dusk,Dusk,Friday,Mating,16:48,,,21,
R1_dusk,Dusk,Friday,Mating,17:02,Dusk,,22,
R1_dusk,Dusk,Friday,Mating,17:04,Dusk,,23,
R1_dusk,Dusk,Friday,Mating,17:06,Dusk,,24,
R1_dusk,Dusk,Friday,Mating,17:14,Selected,,,
R1_dusk,Dusk,Friday,Mating,17:14,Selected,,,
R1_dusk,Dusk,Friday,Mating,17:23,Selected,,,
R1_dusk,Dusk,Friday,Mating,17:23,Selected,,,
R1_dusk,Dusk,Friday,Mating,17:23,Selected,,,
R1_dusk,Dusk,Friday,Mating,17:23,Selected,,,
R1_dusk,Dusk,Friday,Mating,17:23,Selected,,,
R1_dusk,Dusk,Friday,Mating,17:24,Selected,,,
R1_dusk,Dusk,Friday,Mating,17:30,Selected,,,
R1_dusk,Dusk,Friday,Mating,17:49,Selected,,,
R2_dusk,Dusk,Friday,Mating,16:41,,,25,
R2_dusk,Dusk,Friday,Mating,16:55,,,26,
R2_dusk,Dusk,Friday,Mating,17:03,Dusk,,27,
R2_dusk,Dusk,Friday,Mating,17:08,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:08,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:15,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:15,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:15,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:15,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:15,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:15,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:15,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:15,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:15,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:26,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:26,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:26,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:27,Selected,,,
R2_dusk,Dusk,Friday,Mating,17:27,Selected,,,
R3_dusk,Dusk,Friday,Mating,16:23,,,28,
R3_dusk,Dusk,Friday,Mating,16:29,,,29,
R3_dusk,Dusk,Friday,Mating,16:45,,,30,
R3_dusk,Dusk,Friday,Mating,16:50,,,31,
R3_dusk,Dusk,Friday,Mating,16:51,,,32,
R3_dusk,Dusk,Friday,Mating,17:03,Dusk,,33,
R3_dusk,Dusk,Friday,Mating,17:10,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:10,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:12,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:12,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:12,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:12,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:20,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:20,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:20,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:20,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:20,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:20,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:20,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:20,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:20,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:28,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:28,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:28,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:28,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:32,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:32,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:45,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:45,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:45,Selected,,,
R3_dusk,Dusk,Friday,Mating,17:56,Selected,,,
R3_dusk,Dusk,Friday,Mating,18:00,Selected,,,
