Numbered,Replicate,Tray,Individual,Time,Box,Fillial,Sex,Date,Callus,Additional details,Callus_colour,Updated_callus,
36,R1,,,<16:00,,25,Male,,Yellow,Day_selected,5,100,
37,R1,,,<16:00,,25,Male,,Brown,Day_selected,1,0,
38,R1,,,>16:00,,25,Male,,Brown,Day_selected,1,<25,
39,R1,,,>16:00,,25,Male,,Brown,Day_selected,1,0,
40,R2,,,,,25,Male,,Yellow,Day_selected,5,95,
41,R2,,,,,25,Male,,Brown,Day_selected,4,95,
42,R2,,,,,25,Male,,Yellow,Day_selected,4,95,
43,R3,,,,,25,Male,,Yellow,Day_selected,4,95,
44,R3,,,,,25,Male,,Yellow,Day_selected,5,100,
45,R3,8,3,16:08,,25,Male,,Yellow,,5,100,
48,R3,31,3,Dusk,,25,Male,,Yellow,,4,100,
46,R1,17,5,16:20,,25,Male,,Brown,,1,5,
47,R1,7,5,16:06,,25,Male,,Yellow,,5,100,
49,R3,1,1,Dusk,,25,Male,,Brown,,1,5,
50,R1,6,1,16:48,,25,Male,,Yellow,,5,100,
51,R2,8,1,,,25,Male,,Yellow,Calling,4,95,
52,R3,7,1,Dusk,,25,Male,,Yellow,,5,100,
53,R1,32,2,Dusk,,25,Male,,Yellow,,5,100,
54,R2,,6,17:33,,25,Male,,Yellow,,5,100,
55,R2,11,4,15:06,,25,Male,,50%,,2,50,
56,R2,7,4,17:32,,25,Male,,Yellow,,4,75+,
57,R3,11,4,17:39,,25,Male,,Yellow,Calling,4,<75,
58,R1,10,7,17:00,,25,Male,,Yellow,,5,100,
59,R1,10,2,17:04,,25,Male,,50%,,2,<25,
60,R3,5,5,16:10,,25,Male,,Yellow,,5,95,
61,R2,21,5,16:38,,25,Male,,Yellow,,4,75,
62,R1,,5,15:55,,25,Male,,Yellow,,3,<75,
63,R2,28,4,Dusk,,25,Male,,Yellow,,5,95,
64,R3,13,3,17:13,,25,Male,,Yellow,,4,75+,
65,R1,13,4,17:17,,25,Male,,Yellow,,5,95,
66,R2,25,6,Dusk,,25,Male,,,LOST,,,
67,R3,26,2,Dusk,,25,Male,,Brown,,4,95,
68,R3,18,3,16:03,,25,Male,,Yellow,,4,95,
69,R2,26,2,Dusk,,25,Male,,Yellow,,5,75+,
70,R2,20,7,16:07,,25,Male,,Brown,,2,25,
71,R1,2,4,17:26,,25,Male,,Yellow,,4,75,
72,2,NA,7,Day_selected,,25,Female,,,,4,75,
73,1,,,17:00,,25,"Hybrid female, neo male",28/05/2018,,Dusk neo,5,95,
74,1,,,17:11,,25,"Hybrid female, neo male",28/05/2018,,Dusk neo,3,50,Male also 50%
75,1,,,17:33,,25,"Hybrid female, neo male",28/05/2018,,Dusk neo,4,100,
76,1,,,17:33,,25,"Hybrid female, neo male",28/05/2018,,Dusk neo,1,0,
77,1,,,17:30,,25,"Hybrid female, neo male",29/05/2018,,Dusk neo,4,95,Male 5%
78,1,,,17:30,,25,"Hybrid female, neo male",29/05/2018,,Dusk neo,1,5,
79,2,,,11:52,,25,"Hybrid female, neo male",28/05/2018,,Early hybrid,4,95,Male mottled <25%
80,2,,,14:48,,25,"Hybrid female, neo male",28/05/2018,,,4,100,
81,2,,,16:35,,25,"Hybrid female, neo male",28/05/2018,,,5,100,
82,2,,,17:30,,25,"Hybrid female, neo male",29/05/2018,,Dusk neo,5,100,
83,3,,,9:29,,25,"Hybrid female, neo male",28/05/2018,,Early hybrid,5,100,
84,3,,,11:33,,25,"Hybrid female, neo male",28/05/2018,,Early hybrid,4,95,Male 5%
85,3,,,16:33,,25,"Hybrid female, neo male",28/05/2018,,,4,75,Male 5%
86,1,,2,Day < 4PM,,25,Female,4/06/2018,,Day_selected,4,75,
87,1,,1,Day < 4PM,,25,Female,4/06/2018,,Day_selected,4,95,
88,1,,3,Day < 4PM,,25,Female,4/06/2018,,Day_selected,5,100,
89,1,,4,Day < 4PM,,25,Female,4/06/2018,,Day_selected,5,100,
90,1,,5,Day < 4PM,,25,Female,4/06/2018,,Day_selected,2,25,
91,1,,6,Day > 4 PM,,25,Female,4/06/2018,,Day_selected,3,50,
92,1,,7,Day > 4 PM,,25,Female,4/06/2018,,Day_selected,5,95,
93,1,,8,Day > 4 PM,,25,Female,4/06/2018,,Day_selected,5,95,
94,2,,1,Day_selected,,25,Female,4/06/2018,,Day_selected,3,<75,
95,2,,2,Day_selected,,25,Female,4/06/2018,,Day_selected,4,100,
96,2,,3,Day_selected,,25,Female,4/06/2018,,Day_selected,4,95,
97,2,,4,Day_selected,,25,Female,4/06/2018,,Day_selected,4,75,
98,2,,5,Day_selected,,25,Female,4/06/2018,,Day_selected,4,95,
99,2,,6,Day_selected,,25,Female,4/06/2018,,Day_selected,4,95,
100,3,,1,Day_selected,,25,Female,4/06/2018,,Day_selected,5,100,
101,3,,2,Day_selected,,25,Female,4/06/2018,,Day_selected,1,5,
102,3,,3,Day_selected,,25,Female,4/06/2018,,Day_selected,2,25,Yellow under?
1D_01,1,,,Dusk,,,Male,,,Dusk_selected,,100,
1D_02,1,,,Dusk,,,Male,,,Dusk_selected,,100,
1D_03,1,,,Dusk,,,Male,,,Dusk_selected,,75+,
1D_04,1,,,Dusk,,,Male,,,Dusk_selected,,,
1D_05,1,,,Dusk,,,Male,,,Dusk_selected,,75+,
1D_06,1,,,Dusk,,,Male,,,Dusk_selected,,100,
1D_07,1,,,Dusk,,,Male,,,Dusk_selected,,100,
1D_08,1,,,Dusk,,,Male,,,Dusk_selected,,100,
1D_09,1,,,Dusk,,,Male,,,Dusk_selected,,95,
1D_10,1,,,Dusk,,,Female,,,Dusk_selected,,75+,
1D_11,1,,,Dusk,,,Female,,,Dusk_selected,,75+,
1D_12,1,,,Dusk,,,Female,,,Dusk_selected,,75+,
1D_13,1,,,Dusk,,,Female,,,Dusk_selected,,100,
1D_14,1,,,Dusk,,,Female,,,Dusk_selected,,100,
1D_15,1,,,Dusk,,,Female,,,Dusk_selected,,100,
1D_16,1,,,Dusk,,,Female,,,Dusk_selected,,100,
2D_01,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_02,2,,,Dusk,,,Male,,,Dusk_selected,,95,
2D_03,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_04,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_05,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_06,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_07,2,,,Dusk,,,Male,,,Dusk_selected,,25,
2D_08,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_09,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_10,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_11,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_12,2,,,Dusk,,,Male,,,Dusk_selected,,95,
2D_13,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_14,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_15,2,,,Dusk,,,Male,,,Dusk_selected,,100,
2D_16,2,,,Dusk,,,Female,,,Dusk_selected,,100,
2D_17,2,,,Dusk,,,Female,,,Dusk_selected,,75,
2D_18,2,,,Dusk,,,Female,,,Dusk_selected,,75,
2D_19,2,,,Dusk,,,Female,,,Dusk_selected,,100,
2D_20,2,,,Dusk,,,Female,,,Dusk_selected,,100,
2D_21,2,,,Dusk,,,Female,,,Dusk_selected,,100,
2D_22,2,,,Dusk,,,Female,,,Dusk_selected,,100,
2D_23,2,,,Dusk,,,Female,,,Dusk_selected,,75,
2D_24,2,,,Dusk,,,Female,,,Dusk_selected,,100,
2D_25,2,,,Dusk,,,Female,,,Dusk_selected,,100,
2D_26,2,,,Dusk,,,Female,,,Dusk_selected,,95,
2D_27,2,,,Dusk,,,Female,,,Dusk_selected,,100,
2D_28,2,,,Dusk,,,Female,,,Dusk_selected,,100,
2D_29,2,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_01,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_02,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_03,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_04,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_05,3,,,Dusk,,,Male,,,Dusk_selected,,75,
3D_06,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_07,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_08,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_09,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_10,3,,,Dusk,,,Male,,,Dusk_selected,,95,
3D_11,3,,,Dusk,,,Male,,,Dusk_selected,,95,
3D_12,3,,,Dusk,,,Male,,,Dusk_selected,,25,
3D_13,3,,,Dusk,,,Male,,,Dusk_selected,,95,
3D_14,3,,,Dusk,,,Male,,,Dusk_selected,,95,
3D_15,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_16,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_17,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_18,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_19,3,,,Dusk,,,Male,,,Dusk_selected,,100,
3D_20,3,,,Dusk,,,Female,,,Dusk_selected,,95,
3D_21,3,,,Dusk,,,Female,,,Dusk_selected,,5,
3D_22,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_23,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_24,3,,,Dusk,,,Female,,,Dusk_selected,,95,
3D_25,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_26,3,,,Dusk,,,Female,,,Dusk_selected,,95,
3D_27,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_28,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_29,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_30,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_31,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_32,3,,,Dusk,,,Female,,,Dusk_selected,,95,
3D_33,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_34,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_35,3,,,Dusk,,,Female,,,Dusk_selected,,95,
3D_36,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_37,3,,,Dusk,,,Female,,,Dusk_selected,,95,
3D_38,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_39,3,,,Dusk,,,Female,,,Dusk_selected,,95,
3D_40,3,,,Dusk,,,Female,,,Dusk_selected,,100,
3D_41,3,,,Dusk,,,Female,,,Dusk_selected,,95,
