Line,Replicate,Sex,Gen,Callus,Frequency,Proportion
Unselected,1,Male,26,1,1,0.008928571
Unselected,1,Male,26,2,1,0.008928571
Unselected,1,Male,26,3,7,0.0625
Unselected,1,Male,26,4,8,0.071428571
Unselected,1,Male,26,5,95,0.848214286
Unselected,1,Female,26,1,11,0.071428571
Unselected,1,Female,26,2,12,0.077922078
Unselected,1,Female,26,3,4,0.025974026
Unselected,1,Female,26,4,10,0.064935065
Unselected,1,Female,26,5,117,0.75974026
Unselected,2,Male,26,1,2,0.011428571
Unselected,2,Male,26,2,4,0.022857143
Unselected,2,Male,26,3,6,0.034285714
Unselected,2,Male,26,4,14,0.08
Unselected,2,Male,26,5,149,0.851428571
Unselected,2,Female,26,1,4,0.025806452
Unselected,2,Female,26,2,3,0.019354839
Unselected,2,Female,26,3,7,0.04516129
Unselected,2,Female,26,4,23,0.148387097
Unselected,2,Female,26,5,118,0.761290323
Unselected,3,Male,26,1,0,0
Unselected,3,Male,26,2,2,0.017094017
Unselected,3,Male,26,3,2,0.017094017
Unselected,3,Male,26,4,5,0.042735043
Unselected,3,Male,26,5,108,0.923076923
Unselected,3,Female,26,1,0,0
Unselected,3,Female,26,2,4,0.023391813
Unselected,3,Female,26,3,4,0.023391813
Unselected,3,Female,26,4,17,0.099415205
Unselected,3,Female,26,5,146,0.85380117
Day,1_1,Female,26,1,23,0.252747253
Day,1_1,Female,26,2,20,0.21978022
Day,1_1,Female,26,3,5,0.054945055
Day,1_1,Female,26,4,37,0.406593407
Day,1_1,Female,26,5,6,0.065934066
Day,1_3,Male,26,1,0,0
Day,1_3,Male,26,2,0,0
Day,1_3,Male,26,3,0,0
Day,1_3,Male,26,4,11,0.44
Day,1_3,Male,26,5,14,0.56
Day,1_5,Male,26,1,0,0
Day,1_5,Male,26,2,0,0
Day,1_5,Male,26,3,1,0.2
Day,1_5,Male,26,4,2,0.4
Day,1_5,Male,26,5,2,0.4
Day,1_5,Female,26,1,20,0.202020202
Day,1_5,Female,26,2,30,0.303030303
Day,1_5,Female,26,3,20,0.202020202
Day,1_5,Female,26,4,27,0.272727273
Day,1_5,Female,26,5,2,0.02020202
Day,1_6,Male,26,1,4,0.06557377
Day,1_6,Male,26,2,19,0.31147541
Day,1_6,Male,26,3,22,0.360655738
Day,1_6,Male,26,4,14,0.229508197
Day,1_6,Male,26,5,2,0.032786885
Day,1_6,Female,26,1,8,0.129032258
Day,1_6,Female,26,2,33,0.532258065
Day,1_6,Female,26,3,18,0.290322581
Day,1_6,Female,26,4,3,0.048387097
Day,1_6,Female,26,5,0,0
Day,1_7,Male,26,1,2,0.043478261
Day,1_7,Male,26,2,8,0.173913043
Day,1_7,Male,26,3,7,0.152173913
Day,1_7,Male,26,4,26,0.565217391
Day,1_7,Male,26,5,3,0.065217391
Day,1_7,Female,26,1,3,0.076923077
Day,1_7,Female,26,2,16,0.41025641
Day,1_7,Female,26,3,1,0.025641026
Day,1_7,Female,26,4,19,0.487179487
Day,1_7,Female,26,5,0,0
Day,1_8,Male,26,1,0,0
Day,1_8,Male,26,2,1,1
Day,1_8,Male,26,3,0,0
Day,1_8,Male,26,4,0,0
Day,1_8,Male,26,5,0,0
Day,1_8,Female,26,1,3,0.157894737
Day,1_8,Female,26,2,4,0.210526316
Day,1_8,Female,26,3,5,0.263157895
Day,1_8,Female,26,4,7,0.368421053
Day,1_8,Female,26,5,0,0
Day,1,Female,26,1,7,0.051851852
Day,1,Female,26,2,20,0.148148148
Day,1,Female,26,3,15,0.111111111
Day,1,Female,26,4,73,0.540740741
Day,1,Female,26,5,20,0.148148148
Day,2_1,Male,26,1,5,0.058823529
Day,2_1,Male,26,2,28,0.329411765
Day,2_1,Male,26,3,5,0.058823529
Day,2_1,Male,26,4,17,0.2
Day,2_1,Male,26,5,30,0.352941176
Day,2_1,Female,26,1,5,0.064102564
Day,2_1,Female,26,2,14,0.179487179
Day,2_1,Female,26,3,5,0.064102564
Day,2_1,Female,26,4,10,0.128205128
Day,2_1,Female,26,5,44,0.564102564
Day,2_2,Male,26,1,2,0.2
Day,2_2,Male,26,2,0,0
Day,2_2,Male,26,3,0,0
Day,2_2,Male,26,4,7,0.7
Day,2_2,Male,26,5,1,0.1
Day,2_2,Female,26,1,1,0.055555556
Day,2_2,Female,26,2,0,0
Day,2_2,Female,26,3,0,0
Day,2_2,Female,26,4,11,0.611111111
Day,2_2,Female,26,5,6,0.333333333
Day,2_3,Male,26,1,3,0.081081081
Day,2_3,Male,26,2,1,0.027027027
Day,2_3,Male,26,3,1,0.027027027
Day,2_3,Male,26,4,28,0.756756757
Day,2_3,Male,26,5,4,0.108108108
Day,2_3,Female,26,1,1,0.05
Day,2_3,Female,26,2,0,0
Day,2_3,Female,26,3,0,0
Day,2_3,Female,26,4,17,0.85
Day,2_3,Female,26,5,2,0.1
Day,2_4,Male,26,1,14,0.14893617
Day,2_4,Male,26,2,2,0.021276596
Day,2_4,Male,26,3,3,0.031914894
Day,2_4,Male,26,4,74,0.787234043
Day,2_4,Male,26,5,1,0.010638298
Day,2_4,Female,26,1,15,0.123966942
Day,2_4,Female,26,2,4,0.033057851
Day,2_4,Female,26,3,17,0.140495868
Day,2_4,Female,26,4,81,0.669421488
Day,2_4,Female,26,5,4,0.033057851
Day,2_5,Male,26,1,0,0
Day,2_5,Male,26,2,0,0
Day,2_5,Male,26,3,0,0
Day,2_5,Male,26,4,34,0.557377049
Day,2_5,Male,26,5,27,0.442622951
Day,2_5,Female,26,1,0,0
Day,2_5,Female,26,2,0,0
Day,2_5,Female,26,3,0,0
Day,2_5,Female,26,4,53,0.883333333
Day,2_5,Female,26,5,7,0.116666667
Day,2_6,Male,26,1,7,0.0875
Day,2_6,Male,26,2,8,0.1
Day,2_6,Male,26,3,4,0.05
Day,2_6,Male,26,4,49,0.6125
Day,2_6,Male,26,5,12,0.15
Day,2_6,Female,26,1,11,0.164179104
Day,2_6,Female,26,2,3,0.044776119
Day,2_6,Female,26,3,3,0.044776119
Day,2_6,Female,26,4,30,0.447761194
Day,2_6,Female,26,5,20,0.298507463
Day,2,Female,26,1,8,0.108108108
Day,2,Female,26,2,1,0.013513514
Day,2,Female,26,3,4,0.054054054
Day,2,Female,26,4,48,0.648648649
Day,2,Female,26,5,13,0.175675676
Day,3_1,Male,26,1,0,0
Day,3_1,Male,26,2,0,0
Day,3_1,Male,26,3,0,0
Day,3_1,Male,26,4,12,0.226415094
Day,3_1,Male,26,5,41,0.773584906
Day,3_1,Female,26,1,0,0
Day,3_1,Female,26,2,1,0.027777778
Day,3_1,Female,26,3,0,0
Day,3_1,Female,26,4,6,0.166666667
Day,3_1,Female,26,5,29,0.805555556
Day,3_2,Male,26,1,9,0.14516129
Day,3_2,Male,26,2,7,0.112903226
Day,3_2,Male,26,3,5,0.080645161
Day,3_2,Male,26,4,30,0.483870968
Day,3_2,Male,26,5,11,0.177419355
Day,3_2,Female,26,1,13,0.152941176
Day,3_2,Female,26,2,14,0.164705882
Day,3_2,Female,26,3,5,0.058823529
Day,3_2,Female,26,4,45,0.529411765
Day,3_2,Female,26,5,8,0.094117647
Day,3_3,Male,26,1,1,0.029411765
Day,3_3,Male,26,2,6,0.176470588
Day,3_3,Male,26,3,1,0.029411765
Day,3_3,Male,26,4,6,0.176470588
Day,3_3,Male,26,5,20,0.588235294
Day,3_3,Female,26,1,0,0
Day,3_3,Female,26,2,8,0.2
Day,3_3,Female,26,3,11,0.275
Day,3_3,Female,26,4,12,0.3
Day,3_3,Female,26,5,9,0.225
Day,3,Female,26,1,6,0.09375
Day,3,Female,26,2,5,0.078125
Day,3,Female,26,3,9,0.140625
Day,3,Female,26,4,18,0.28125
Day,3,Female,26,5,26,0.40625
Dusk,1,Male,26,1,0,0
Dusk,1,Male,26,2,1,0.021276596
Dusk,1,Male,26,3,1,0.021276596
Dusk,1,Male,26,4,11,0.234042553
Dusk,1,Male,26,5,34,0.723404255
Dusk,1,Female,26,1,2,0.019230769
Dusk,1,Female,26,2,2,0.019230769
Dusk,1,Female,26,3,0,0
Dusk,1,Female,26,4,55,0.528846154
Dusk,1,Female,26,5,45,0.432692308
Dusk,2,Male,26,1,0,0
Dusk,2,Male,26,2,0,0
Dusk,2,Male,26,3,0,0
Dusk,2,Male,26,4,4,0.444444444
Dusk,2,Male,26,5,5,0.555555556
Dusk,2,Female,26,1,0,0
Dusk,2,Female,26,2,1,0.011235955
Dusk,2,Female,26,3,2,0.02247191
Dusk,2,Female,26,4,54,0.606741573
Dusk,2,Female,26,5,32,0.359550562
Dusk,3,Male,26,1,0,0
Dusk,3,Male,26,2,0,0
Dusk,3,Male,26,3,0,0
Dusk,3,Male,26,4,9,0.75
Dusk,3,Male,26,5,3,0.25
Dusk,3,Female,26,1,0,0
Dusk,3,Female,26,2,1,0.011363636
Dusk,3,Female,26,3,2,0.022727273
Dusk,3,Female,26,4,36,0.409090909
Dusk,3,Female,26,5,49,0.556818182
