Replicate,Line,Time_Start,Remarks1,CallusMale,CallusFemale
R1,Late_Day,14:33,,3,2
R1,Late_Day,14:33,,4,1
R1,Late_Day,15:01,,4,2
R1,Late_Day,15:10,,1,3
R1,Late_Day,15:12,,1,1
R1,Late_Day,15:55,,5,1
R1,Late_Day,15:55,,1,2
R1,Late_Day,15:55,,1,1
R1,Late_Day,15:41,,2,2
R1,Late_Day,15:41,,5,1
R1,Late_Day,15:41,,2,2
R1,Late_Day,15:41,,3,3
R1,Late_Day,15:41,,3,4
R1,Late_Day,15:41,,5,1
R1,Late_Day,15:57,,2,2
R1,Late_Day,15:57,,1,1
R1,Late_Day,15:57,,1,1
R1,Late_Day,15:57,,5,4
R1,Late_Day,15:57,,4,1
R1,Late_Day,15:57,,3,1
R1,Late_Day,15:57,,5,1
R1,Late_Day,15:57,,2,1
R1,Late_Day,15:57,,1,1
R1,Late_Day,15:57,,5,2
R1,Late_Day,15:57,,3,2
R1,Late_Day,15:57,,2,1
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:30,,,
R1,Late_Day,16:52,,,
R1,Late_Day,16:52,,,
R1,Late_Day,16:52,,,
R1,Late_Day,16:52,,,
R1,Late_Day,16:52,,,
R1,Late_Day,16:52,,,
R1,Late_Day,16:56,,,
R1,Late_Day,16:56,,,
R1,Late_Day,16:56,,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:20,Dusk,,
R1,Late_Day,17:26,Dusk,,
R1,Late_Day,17:26,Dusk,,
R1,Late_Day,17:26,Dusk,,
R1,Late_Day,17:26,Dusk,,
R1,Late_Day,17:31,Dusk,,
R1,Late_Day,17:31,Dusk,,
R1,Late_Day,17:51,Dusk,,
R2,Late_Day,15:46,,,
R2,Late_Day,16:07,,,
R2,Late_Day,16:40,,,
R2,Late_Day,16:40,,,
R2,Late_Day,16:40,,,
R2,Late_Day,16:40,,,
R2,Late_Day,16:40,,,
R2,Late_Day,16:40,,,
R2,Late_Day,16:40,,,
R2,Late_Day,16:40,,,
R2,Late_Day,16:45,,,
R2,Late_Day,16:45,,,
R2,Late_Day,16:45,,,
R2,Late_Day,16:45,,,
R2,Late_Day,16:45,,,
R2,Late_Day,16:45,,,
R2,Late_Day,16:45,,,
R2,Late_Day,16:45,,,
R2,Late_Day,16:49,,,
R2,Late_Day,16:49,,,
R2,Late_Day,16:49,,,
R2,Late_Day,16:49,,,
R2,Late_Day,16:49,,,
R2,Late_Day,16:49,,,
R2,Late_Day,16:49,,,
R2,Late_Day,16:56,,,
R2,Late_Day,16:56,,,
R2,Late_Day,16:56,,,
R2,Late_Day,16:56,,,
R2,Late_Day,17:00,,,
R2,Late_Day,17:00,,,
R2,Late_Day,17:00,,,
R2,Late_Day,17:00,,,
R2,Late_Day,17:15,Dusk,,
R2,Late_Day,17:15,Dusk,,
R2,Late_Day,17:15,Dusk,,
R2,Late_Day,17:17,Dusk,,
R2,Late_Day,17:17,Dusk,,
R2,Late_Day,17:17,Dusk,,
R2,Late_Day,17:17,Dusk,,
R2,Late_Day,17:17,Dusk,,
R2,Late_Day,17:21,Dusk,,
R2,Late_Day,17:21,Dusk,,
R2,Late_Day,17:21,Dusk,,
R2,Late_Day,17:21,Dusk,,
R2,Late_Day,17:25,Dusk,,
R2,Late_Day,17:25,Dusk,,
R2,Late_Day,17:25,Dusk,,
R2,Late_Day,17:25,Dusk,,
R2,Late_Day,17:25,Dusk,,
R2,Late_Day,17:27,Dusk,,
R2,Late_Day,17:27,Dusk,,
R2,Late_Day,17:29,Dusk,,
R2,Late_Day,17:37,Dusk,,
R2,Late_Day,18:04,Dusk,,
R3,Late_Day,15:07,,5,5
R3,Late_Day,15:20,,5,4
R3,Late_Day,15:20,,5,2
R3,Late_Day,15:55,,5,4
R3,Late_Day,15:55,,5,4
R3,Late_Day,15:55,,5,5
R3,Late_Day,15:55,,5,4
R3,Late_Day,15:55,,5,2
R3,Late_Day,15:55,,5,4
R3,Late_Day,15:55,,2,4
R3,Late_Day,16:29,,,
R3,Late_Day,16:29,,,
R3,Late_Day,16:29,,,
R3,Late_Day,16:29,,,
R3,Late_Day,16:29,,,
