No,Line,Tray,Time_Start,Time_End,Remarks1,Time_Start2,Time_End2,Remark2,Early,Late,Difference,Callus
1,1_1,1,,,,16:54,,,16:54:00,16:54:00,0:00:00,3
2,1_1,2,15:50,,,17:00,,,15:50:00,17:00:00,1:10:00,5
3,1_1,3,17:06,,,,,,17:06:00,17:06:00,0:00:00,
4,1_1,4,14:15,,,,,,14:15:00,14:15:00,0:00:00,5
5,1_1,5,16:32,,,16:14,,,16:14:00,16:32:00,0:18:00,3
6,1_1,6,16:41,,,,,,16:41:00,16:41:00,0:00:00,4
7,1_1,7,15:31,,,14:48,,,14:48:00,15:31:00,0:43:00,5
8,1_1,8,16:23,,,15:33,,,15:33:00,16:23:00,0:50:00,2
9,1_1,9,17:32,,,,,,17:32:00,17:32:00,0:00:00,1
10,1_1,10,15:38,,,14:26,,,14:26:00,15:38:00,1:12:00,5
11,1_1,11,16:13,,,16:00,,,16:00:00,16:13:00,0:13:00,1
12,1_1,12,16:35,,,,,,16:35:00,16:35:00,0:00:00,2
13,1_1,13,16:06,,,15:56,,,15:56:00,16:06:00,0:10:00,5
14,1_1,14,15:43,,,16:49,,,15:43:00,16:49:00,1:06:00,5
15,1_1,15,15:13,,,14:51,,,14:51:00,15:13:00,0:22:00,1
16,1_1,16,17:26,,,,,,17:26:00,17:26:00,0:00:00,4
17,1_1,1,,,,,,,,,,4
18,1_1,2,16:15,,,15:49,,,15:49:00,16:15:00,0:26:00,5
19,1_1,3,16:00,,,15:39,,,15:39:00,16:00:00,0:21:00,4
20,1_1,4,15:22,,,,,,15:22:00,15:22:00,0:00:00,2
21,1_1,5,17:37,,,16:08,,,16:08:00,17:37:00,1:29:00,1
22,1_1,6,17:26,,,17:09,,,17:09:00,17:26:00,0:17:00,4
23,1_1,7,16:11,,,,,,16:11:00,16:11:00,0:00:00,1
24,1_1,8,16:42,,,15:13,,,15:13:00,16:42:00,1:29:00,5
25,1_1,9,17:22,,,14:13,,,14:13:00,17:22:00,3:09:00,5
26,1_1,10,16:56,,,,,,16:56:00,16:56:00,0:00:00,2
27,1_1,11,15:55,,,14:57,,,14:57:00,15:55:00,0:58:00,1
28,1_1,12,,,,16:40,,,16:40:00,16:40:00,0:00:00,5
29,1_1,13,16:07,,,,,,16:07:00,16:07:00,0:00:00,1
30,1_1,14,16:48,,,14:52,,,14:52:00,16:48:00,1:56:00,1
31,1_1,15,15:26,,,15:30,,,15:26:00,15:30:00,0:04:00,1
32,1_1,16,15:57,,,16:57,,,15:57:00,16:57:00,1:00:00,5
33,1_1,1,16:19,,,17:38,,,16:19:00,17:38:00,1:19:00,4
34,1_1,2,16:15,,,,,,16:15:00,16:15:00,0:00:00,5
35,1_1,3,15:29,,,16:53,,,15:29:00,16:53:00,1:24:00,1
36,1_1,4,15:59,,,,,,15:59:00,15:59:00,0:00:00,2
37,1_1,5,,,,17:43,,,17:43:00,17:43:00,0:00:00,1
38,1_1,6,15:46,,,,,,15:46:00,15:46:00,0:00:00,1
39,1_1,7,15:53,,,,,,15:53:00,15:53:00,0:00:00,2
40,1_1,8,,,,16:45,,,16:45:00,16:45:00,0:00:00,5
41,1_1,9,16:54,,,,,,16:54:00,16:54:00,0:00:00,4
42,1_1,10,,,,15:26,,,15:26:00,15:26:00,0:00:00,1
43,1_1,11,16:03,,,15:34,,,15:34:00,16:03:00,0:29:00,4
44,1_1,12,,,,,,,,,,1
45,1_1,13,15:41,,,,,,15:41:00,15:41:00,0:00:00,4
46,1_1,14,16:29,,,,,,16:29:00,16:29:00,0:00:00,4
47,1_1,15,15:58,,,,,,15:58:00,15:58:00,0:00:00,2
48,1_1,16,15:38,,,16:52,,,15:38:00,16:52:00,1:14:00,2
49,1_1,1,16:55,,,15:01,,Calling,15:01:00,16:55:00,1:54:00,1
50,1_1,2,,,,,,,,,,2
51,1_1,3,,,,15:38,,,15:38:00,15:38:00,0:00:00,5
52,1_1,4,,,,16:05,,,16:05:00,16:05:00,0:00:00,5
53,1_1,5,16:54,,,16:43,,,16:43:00,16:54:00,0:11:00,5
54,1_1,6,16:24,,,,,,16:24:00,16:24:00,0:00:00,1
55,1_1,7,15:37,,,,,,15:37:00,15:37:00,0:00:00,2
56,1_1,8,16:34,,,,,,16:34:00,16:34:00,0:00:00,2
57,1_1,9,16:33,,,17:09,,,16:33:00,17:09:00,0:36:00,1
58,1_1,10,,,,15:42,,,15:42:00,15:42:00,0:00:00,2
59,1_1,11,,,,,,,,,,4
60,1_1,12,15:54,,,14:50,,,14:50:00,15:54:00,1:04:00,5
61,1_1,13,15:26,,,15:09,,Calling,15:09:00,15:26:00,0:17:00,1
62,1_1,14,16:17,,,15:42,,,15:42:00,16:17:00,0:35:00,5
63,1_1,15,16:30,,,16:03,,,16:03:00,16:30:00,0:27:00,5
64,1_1,16,15:49,,,,,,15:49:00,15:49:00,0:00:00,1
65,1_1,1,,,,15:18,,,15:18:00,15:18:00,0:00:00,5
66,1_1,2,16:15,,,14:12,,,14:12:00,16:15:00,2:03:00,4
67,1_1,3,15:34,,,15:58,,,15:34:00,15:58:00,0:24:00,5
68,1_1,4,15:52,,,,,,15:52:00,15:52:00,0:00:00,1
69,1_1,5,17:02,,,16:07,,,16:07:00,17:02:00,0:55:00,2
70,1_1,6,16:24,,,14:00,,,14:00:00,16:24:00,2:24:00,1
71,1_1,7,,,,,,,,,,4
72,1_1,8,17:45,,,,,,17:45:00,17:45:00,0:00:00,4
73,1_1,9,,,,14:56,,,14:56:00,14:56:00,0:00:00,3
74,1_1,10,16:37,,,,,,16:37:00,16:37:00,0:00:00,1
75,1_1,11,,,,,,,,,,2
76,1_1,12,,,,,,,,,,4
77,1_1,13,16:05,,,15:51,,,15:51:00,16:05:00,0:14:00,1
78,1_1,14,17:12,,,,,,17:12:00,17:12:00,0:00:00,4
79,1_1,15,16:50,,,15:36,,,15:36:00,16:50:00,1:14:00,3
80,R2,16,,,,,,,,,,4
81,1_1,1,16:45,,,,,,16:45:00,16:45:00,0:00:00,2
82,1_1,2,16:25,,,,,,16:25:00,16:25:00,0:00:00,4
83,1_2,3,16:48,,,15:19,,,15:19:00,16:48:00,1:29:00,5
84,1_2,4,15:51,,,,,,15:51:00,15:51:00,0:00:00,5
85,1_2,5,,,,16:32,,,16:32:00,16:32:00,0:00:00,5
86,1_3,6,16:24,,,15:56,,,15:56:00,16:24:00,0:28:00,4
87,1_3,7,16:34,,,16:45,,,16:34:00,16:45:00,0:11:00,5
88,1_3,8,16:25,,,16:18,,,16:18:00,16:25:00,0:07:00,4
89,1_3,9,16:35,,,16:50,,,16:35:00,16:50:00,0:15:00,
90,1_3,10,14:41,,,14:59,,,14:41:00,14:59:00,0:18:00,3
91,1_3,11,15:40,,,,,,15:40:00,15:40:00,0:00:00,5
92,1_3,12,14:06,,,,,,14:06:00,14:06:00,0:00:00,5
93,1_3,13,,,,,,,,,,4
94,1_3,14,,,,14:42,,,14:42:00,14:42:00,0:00:00,3
95,1_3,15,16:43,,,15:47,,,15:47:00,16:43:00,0:56:00,4
96,1_3,16,14:45,,,,,,14:45:00,14:45:00,0:00:00,5
97,1_3,1,,,,,,,,,,5
