Tray,Cup,Line,Sex,Tube,Yellow,Start,Dusk1,Day1,Day1end,Day1mate,Day2,Day2End,Day2mate,Day3,Day3End,Day3mate,Dusk2,Late,Dusk&Day,Matings
1,1,R1_1,Female,1,100,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
1,2,R1_1,Female,2,95,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
1,3,R1_1,Female,3,95,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
1,4,R1_1,Female,4,75+,Dusk,Yes,,,,,,,,,,,,Dusk,1
1,5,R1_1,Female,5,75,Dusk,Yes,,,,,,,,,,,,Dusk,1
1,6,R1_1,Female,6,95,Dusk,No,,,,,,,,,,,,None,0
1,7,R1_5,Female,7,25,Dusk,Yes,,,,,,,,,,,,Dusk,1
1,8,R1_5,Female,8,25,Dusk,Yes,,,,,,,,,,,,Dusk,1
1,9,R1_5,Female,9,75,Dusk,No,,,,,,,,,,,,None,0
1,10,R1_5,Female,10,25,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
1,11,R1_5,Female,11,5,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
1,12,R1_5,Female,12,0,Dusk,No,,,,,,,,,,tryoni,,Dusk,1
1,13,R2,Female,13,95,Dusk,No,,,,,,,,,,tryoni,,Dusk,1
1,14,R2,Female,14,95,Dusk,Yes,,,,,,,,,,,,Dusk,1
1,15,R2,Female,15,75+,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
1,16,R2,Female,16,0,Dusk,Yes,,,,,,,,,,,,Dusk,1
1,17,R2,Female,17,95,Dusk,No,,,,,,,,,,tryoni,,Dusk,1
1,18,R2,Female,18,75+,Dusk,No,,,,,,,,,,tryoni,,Dusk,1
3,1,R1_1,Female,37,25,Dusk,Yes,16:30,Dusk,tryoni,,,,,,,tryoni,,Dusk,3
3,2,R1_1,Female,38,0,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
3,3,R1_1,Female,39,75+,Dusk,Yes,,,,,,,,,,,,Dusk,1
3,4,R1_1,Female,40,75+,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
3,5,R1_1,Female,41,0,Dusk,No,,,,,,,,,,tryoni,,Dusk,1
3,6,R1_1,Female,42,75+,Dusk,No,,,,,,,,,,tryoni,,Dusk,1
3,7,R1_5,Female,43,5,Dusk,Yes,,,,,,,,,,,,Dusk,1
3,8,R1_5,Female,44,75,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
3,9,R1_5,Female,45,25,Dusk,Yes,,,,,,,,,,,,Dusk,1
3,10,R1_5,Female,46,5,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
3,11,R1_5,Female,47,0,Dusk,No,,,,,,,,,,tryoni,,Dusk,1
3,12,R1_5,Female,48,25+,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
3,13,R2,Female,49,95,Dusk,No,,,,,,,,,,,,None,0
3,14,R2,Female,50,95,Dusk,No,,,,,,,,,,,,None,0
3,15,R2,Female,51,95,Dusk,No,,,,,,,,,,,,None,0
3,16,R2,Female,52,75+,Dusk,No,,,,,,,,,,,,None,0
3,17,R2,Female,53,75+,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
3,18,R2,Female,54,75+,Dusk,Yes,,,,,,,,,,,,Dusk,1
5,1,R1_1,Female,73,,Dusk,Yes,,,,,,,,,,,,Dusk,1
5,2,R1_1,Female,74,0,Dusk,No,,,,,,,,,,,,None,0
5,3,R1_1,Female,75,95,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
5,4,R1_1,Female,76,75+,Dusk,No,16:15,Dusk,,,,,,,,tryoni,,Dusk,2
5,5,R1_1,Female,77,95,Dusk,No,,,,,,,,,,,,None,0
5,6,R1_1,Female,78,95,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
5,7,R1_5,Female,79,25,Dusk,Yes,,,,,,,,,,,,Dusk,1
5,8,R1_5,Female,80,25,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
5,9,R1_5,Female,81,5,Dusk,No,,,,,,,,,,tryoni,,Dusk,1
5,10,R1_5,Female,82,25+,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
5,11,R1_5,Female,83,5,Dusk,No,,,,,,,,,,tryoni,,Dusk,1
5,12,R1_5,Female,84,25,Dusk,No,,,,,,,,,,,DISCARD,None,0
5,13,R2,Female,85,95,Dusk,No,,,,,,,,,,,,None,0
5,14,R2,Female,86,100,Dusk,No,,,,,,,,,,,,None,0
5,15,R2,Female,87,75+,Dusk,Yes,16:30,Dusk,,,,,,,,tryoni,,Dusk,3
5,16,R2,Female,88,50,Dusk,No,,,,,,,,,,,,None,0
5,17,R2,Female,89,75,Dusk,Yes,,,,,,,,,,,,Dusk,1
5,18,R2,Female,90,75+,Dusk,Yes,,,,,,,,,,,,Dusk,1
7,1,R1_1,Female,109,100,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
7,2,R1_1,Female,110,75,Dusk,Yes,,,,,,,,,,,DISCARD,Dusk,1
7,3,R1_1,Female,111,0,Dusk,Yes,,,,,,,,,,,,Dusk,1
7,4,R1_1,Female,112,75+,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
7,5,R1_1,Female,113,75,Dusk,Yes,,,,,,,,,,,,Dusk,1
7,6,R1_1,Female,114,25,Dusk,Yes,16:30,Dusk,tryoni,,,,,,,tryoni,,Dusk,3
7,7,R1_5,Female,115,5,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
7,8,R1_5,Female,116,5,Dusk,Yes,,,,,,,,,,,,Dusk,1
7,9,R1_5,Female,117,25,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
7,10,R1_5,Female,118,25,Dusk,No,,,,,,,,,,,,None,0
7,11,R1_5,Female,119,5,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
7,12,R1_5,Female,120,5,Dusk,Yes,,,,,,,,,,,,Dusk,1
7,13,R2,Female,121,95,Dusk,Yes,,,,,,,,,,tryoni,,Dusk,2
7,14,R2,Female,122,50,Dusk,Yes,,,,,,,,,,,,Dusk,1
7,15,R2,Female,123,95,Dusk,No,,,,,,,,,,,,None,0
