Line,Number,Tray,ID_inTray,Day,Type,Time,Remarks,Time_End,Remarks_2,Concatenate_ID,Remark_3,Concatenate_ID2
R1,,1,3,Monday,Mating,,Dusk,,,R1_1_3,,R2_27_5
R1,,1,4,Tuesday,Mating,17:15,Dusk,,,R1_1_4,,R1_8_2
R1,,1,6,Tuesday,Mating,17:15,Dusk,,,R1_1_6,,R2_8_6
R1,,10,1,Tuesday,Mating,17:04,Dusk,,,R1_10_1,,R3_15_1
R1,,10,4,Tuesday,Drowned,,Morning at 10:30 AM,,,R1_10_4,,R2_17_5
R1,,10,5,Tuesday,Mating,17:08,Dusk,,,R1_10_5,,R2_14_4
R2,#N/A,27,5,Monday,Calling,12:30,,,,R2_27_5,Large time difference,R3_20_3
R1,,10,7,Tuesday,Mating,17:00,Dusk,,,R1_10_7,,R3_21_5
R1,,11,5,Tuesday,Mating,17:21,Dusk,,,R1_11_5,,R2_30_6
R1,,8,2,Monday,Mating,14:45,Other,17:01,,R1_8_2,,R1_12_3
R2,,8,6,Monday,Mating,15:00,Other,17:03,,R2_8_6,,R3_29_4
R3,,15,1,Monday,Mating,15:00,Other,,,R3_15_1,Mated at dusk on Tuesday,R1_29_6
R2,,17,5,Monday,Mating,15:06,Other,,,R2_17_5,,R1_22_3
R2,,14,4,Monday,Mating,15:12,Other,,,R2_14_4,,R2_22_3
R1,,12,6,Tuesday,Mating,17:44,Dusk,,,R1_12_6,,R3_22_5
R1,,13,3,Tuesday,Mating,17:27,Dusk,,,R1_13_3,,R1_16_4
R3,,20,3,Monday,Mating,15:18,,,,R3_20_3,,R1_28_7
R1,,13,5,Monday,Mating,17:53,Dusk,,,R1_13_5,,R3_28_6
R1,,13,6,Monday,Mating,17:22,Dusk,,,R1_13_6,,R1_27_4
R1,,14,1,Tuesday,Mating,16:45,Dusk,,,R1_14_1,,R3_28_1
R1,,14,2,Tuesday,Mating,17:45,Dusk,,,R1_14_2,,R1_30_5
R1,,14,4,Tuesday,Mating,17:03,Dusk,,,R1_14_4,,R3_29_2
R3,,21,5,Monday,Mating,15:20,,,,R3_21_5,,R1_17_1
R1,,14,5,Monday,Mating,,Dusk,,,R1_14_5,,R1_17_6
R1,,14,6,Tuesday,Mating,17:17,Dusk,,,R1_14_6,,R2_23_7
R2,,30,6,Monday,Mating,15:25,,16:15,,R2_30_6,,R2_27_6
R1,,15,4,Tuesday,Mating,17:03,Dusk,,,R1_15_4,,R2_30_7
R1,,12,3,Tuesday,Mating,15:27,,15:45,Calling and mating at 16:40,R1_12_3,,R3_21_3
R3,,29,4,Monday,Mating,15:27,,16:15,,R3_29_4,,S06_27_1
R1,,29,6,Monday,Mating,15:29,,16:15,,R1_29_6,,R2_24_6
R1,,22,3,Monday,Mating,15:35,,,,R1_22_3,,R3_2_6
R1,,16,2,Tuesday,Mating,17:30,Dusk,,,R1_16_2,,R1_26_3
R1,,16,3,Tuesday,Mating,17:10,Dusk,,,R1_16_3,,R1_10_6
R2,,22,3,Monday,Mating,15:35,,,,R2_22_3,,R1_9_6
R1,,16,4,Tuesday,Drowned,,Morning at 10:07,,,R1_16_4,,R3_10_3
R3,,22,5,Monday,Mating,15:35,,,,R3_22_5,,R2_7_1
R1,,16,4,Monday,Mating,15:37,Other,,,R1_16_4,,R1_19_2
R1,,28,7,Monday,Mating,15:39,,,,R1_28_7,,R1_25_3
R3,,28,6,Monday,Mating,15:39,,16:15,,R3_28_6,,R3_25_4
R1,,27,4,Tuesday,Mating,15:45,,,,R1_27_4,,R3_4_4
R3,,28,1,Monday,Mating,15:45,,16:15,,R3_28_1,,R2_16_5
R1,,30,5,Tuesday,Mating,15:47,,16:00,,R1_30_5,,S06_11_1
R3,,29,2,Tuesday,Mating,15:48,,,,R3_29_2,,R1_26_1
R1,,17,1,Monday,Mating,15:50,Other,,,R1_17_1,,R1_7_2
R1,,17,6,Monday,Mating,15:50,Other,,,R1_17_6,,R1_7_5
R2,,23,7,Tuesday,Mating,15:50,,,,R2_23_7,,R2_20_2
R1,,19,3,Tuesday,Mating,17:10,Dusk,,,R1_19_3,,R2_21_3
R1,,19,3,Monday,Mating,,Dusk,,,R1_19_3,,S06_6_1
R2,,27,6,Monday,Mating,15:50,,,,R2_27_6,,R2_33_3
R2,,30,7,Monday,Mating,15:50,,,,R2_30_7,,S06_5_1
R3,,21,3,Monday,Mating,15:50,,,,R3_21_3,,R3_32_2
R1,,2,2,Monday,Mating,17:45,Dusk,,,R1_2_2,,R1_25_5
R1,,2,4,Monday,Mating,17:26,Dusk,,,R1_2_4,,R1_9_5
R1,,2,6,Tuesday,Mating,17:15,Dusk,,,R1_2_6,,R3_9_4
R1,,20,2,Monday,Mating,,Dusk,,,R1_20_2,,S06_22_2
S06,,27,1,Monday,Mating,15:50,,,,S06_27_1,,R1_19_2
R2,,24,6,Tuesday,Mating,15:51,,16:15,,R2_24_6,,R2_18_6
R1,,21,2,Tuesday,Drowned,,Afternoon at 16:24,,,R1_21_2,,R1_17_4
R3,,2,6,Monday,Mating,15:52,Other,,,R3_2_6,,R1_11_6
R1,,26,3,Monday,Mating,15:53,,,,R1_26_3,,R2_19_1
R1,,22,5,Tuesday,Drowned,,,,,R1_22_5,,R1_12_3
R1,,10,6,Monday,Mating,15:54,Other,,,R1_10_6,,R1_15_3
R1,,9,6,Tuesday,Calling,15:57,,,,R1_9_6,,R1_20_5
R3,,10,3,Monday,Mating,15:57,Other,,,R3_10_3,,R1_17_2
R2,,7,1,Monday,Mating,15:58,Other,17:01,,R2_7_1,,R1_17_5
R1,,19,2,Monday,Mating,15:59,,,,R1_19_2,,R3_22_4
R1,,25,3,Monday,Mating,16:00,,,,R1_25_3,,R3_23_6
R3,,25,4,Monday,Mating,16:00,,,,R3_25_4,,R1_18_3
R3,,4,4,Monday,Mating,16:00,Other,,,R3_4_4,,R1_18_6
R1,,25,1,Tuesday,Mating,17:30,Dusk,,,R1_25_1,,R3_5_1
R2,,16,5,Monday,Mating,16:01,Other,,,R2_16_5,,R1_22_5
S06,,11,1,Monday,Mating,16:02,Other,,,S06_11_1,,R1_33_3
R1,,26,1,Tuesday,Mating,16:04,,,,R1_26_1,,R1_19_5
R1,,7,2,Monday,Mating,16:06,Other,17:02,,R1_7_2,,R3_31_6
R1,,7,5,Monday,Mating,16:06,Other,17:02,,R1_7_5,,R3_24_6
R2,,20,2,Monday,Mating,16:07,,,,R2_20_2,,R1_22_6
R1,,26,5,Tuesday,Drowned,,Afternoon at 15:00,,,R1_26_5,,R3_22_1
R1,,26,6,Monday,Mating,17:40,Dusk,,,R1_26_6,,R1_15_6
R1,,27,1,Monday,Mating,17:30,Dusk,,,R1_27_1,,R2_30_1
R2,,21,3,Tuesday,Mating,16:07,,16:15,,R2_21_3,,R2_31_4
S06,,6,1,Monday,Mating,16:09,Other,,,S06_6_1,,R1_25_4
R2,,33,3,Monday,Mating,16:10,,,,R2_33_3,,R3_29_3
S06,,5,1,Monday,Mating,16:10,Other,16:45,,S06_5_1,,R1_13_5
R3,,32,2,Monday,Mating,16:12,,,,R3_32_2,,R1_16_1
R1,,25,5,Monday,Mating,16:13,,,,R1_25_5,,R2_17_1
R1,,9,5,Tuesday,Mating,16:14,,,,R1_9_5,,R3_16_6
R3,,9,4,Monday,Mating,16:14,Other,,,R3_9_4,,R3_16_4
S06,,22,2,Monday,Mating,16:14,,,,S06_22_2,,R3_5_2
R1,,3,2,Monday,Mating,17:26,Dusk,,,R1_3_2,,R1_19_6
R1,,3,6,Monday,Mating,17:45,Dusk,,,R1_3_6,,R2_21_2
R1,,19,2,Tuesday,Calling,16:15,,,,R1_19_2,,R2_21_6
R1,,30,6,Tuesday,Mating,17:15,Dusk,,,R1_30_6,,R1_12_2
R2,,18,6,Tuesday,Calling,16:15,,,,R2_18_6,,R2_12_5
R1,,31,2,Tuesday,Drowned,,Morning at 10:30 AM,,,R1_31_2,,R2_20_3
R1,,17,4,Monday,Mating,16:16,Other,,,R1_17_4,,R1_27_5
R1,,32,2,Tuesday,Calling,17:15,Dusk,,,R1_32_2,,R2_9_5
R1,,32,3,Tuesday,Mating,17:00,Dusk,,,R1_32_3,,R3_9_2
R1,,32,6,Tuesday,Mating,17:00,Dusk,,,R1_32_6,,R1_24_7
R1,,33,1,Monday,Mating,,Dusk,,,R1_33_1,,R1_15_6
R1,,11,6,Monday,Mating,16:17,Other,,,R1_11_6,,R1_17_6
R1,,4,1,Tuesday,Calling,17:15,Dusk,,,R1_4_1,,R1_18_2
R1,,4,2,Monday,Mating,17:54,Dusk,,,R1_4_2,,R1_19_6
R1,,4,3,Monday,Mating,,Dusk,,,R1_4_3,,R1_20_5
R1,,4,4,Tuesday,Mating,17:15,Dusk,,,R1_4_4,,R1_23_2
R1,,4,4,Monday,Mating,17:18,Dusk,,,R1_4_4,,R1_23_6
R1,,4,6,Tuesday,Mating,17:15,Dusk,,,R1_4_6,,R1_24_3
R1,,4,6,Monday,Mating,18:02,Dusk,,,R1_4_6,,R1_24_4
R1,,5,5,Tuesday,Mating,17:15,Dusk,,,R1_5_5,,R1_24_5
R1,,5,6,Tuesday,Mating,17:15,Dusk,,,R1_5_6,,R1_24_7
R1,,5,6,Monday,Mating,17:54,Dusk,,,R1_5_6,,R1_29_4
R2,,19,1,Monday,Mating,16:17,,,,R2_19_1,,R1_29_6
R1,,6,2,Tuesday,Mating,17:15,Dusk,,,R1_6_2,,R1_7_2
R1,,7,1,Tuesday,Mating,17:15,Dusk,,,R1_7_1,,R1_7_6
R1,,12,3,Monday,Mating,16:18,Other,,,R1_12_3,,R2_20_2
R1,,15,3,Tuesday,Mating,16:18,,,,R1_15_3,,R2_23_1
R1,,7,4,Tuesday,Mating,17:15,Dusk,,,R1_7_4,,R2_27_5
R1,,20,5,Monday,Mating,16:18,,,,R1_20_5,,R2_28_5
R1,,17,2,Tuesday,Mating,16:20,,,,R1_17_2,,R2_30_7
R1,,7,6,Monday,Mating,17:34,Dusk,,,R1_7_6,,R2_6_2
R1,,17,5,Tuesday,Mating,16:20,,,,R1_17_5,,R2_6_5
R1,,9,1,Monday,Mating,17:20,Dusk,,,R1_9_1,,R2_8_2
R1,,9,2,Monday,Drowned,,Other,,,R1_9_2,,R3_16_5
R3,,22,4,Monday,Mating,16:20,,,,R3_22_4,,R3_18_1
R3,,23,6,Monday,Mating,16:20,,,,R3_23_6,,R3_19_2
R2,,1,2,Tuesday,Mating,17:15,Dusk,,,R2_1_2,,R3_20_2
R2,,1,3,Tuesday,Calling,17:15,Dusk,,,R2_1_3,,R3_24_1
R2,,1,6,Tuesday,Mating,17:15,Dusk,,,R2_1_6,,R3_24_4
R2,,10,2,Tuesday,Mating,17:17,Dusk,,,R2_10_2,,R3_27_2
R2,,11,2,Tuesday,Mating,17:22,Dusk,,,R2_11_2,,R3_3_4
R1,,18,3,Tuesday,Calling,16:21,,,,R1_18_3,,R3_30_1
R1,,18,6,Tuesday,Mating,16:21,,,,R1_18_6,,R3_5_2
R3,,5,1,Monday,Mating,16:22,Other,,,R3_5_1,,R1_6_1
